date,driving,walking
1/13/2020,100,100
1/14/2020,104.63,100.93
1/15/2020,110.48,107.14
1/16/2020,106.39,99.31
1/17/2020,111.8,104.36
1/18/2020,95.55,90.34
1/19/2020,94.31,82.38
1/20/2020,102.26,100.13
1/21/2020,107.91,105.22
1/22/2020,108.29,98.49
1/23/2020,106.03,101.26
1/24/2020,110.47,110.18
1/25/2020,98.07,103.79
1/26/2020,95.04,89.19
1/27/2020,103.26,103.64
1/28/2020,106.53,104.42
1/29/2020,105.46,97.56
1/30/2020,102.67,101.68
1/31/2020,114.02,104.36
2/1/2020,95.95,103.08
2/2/2020,96.06,89.55
2/3/2020,103.67,102.65
2/4/2020,111.17,102.65
2/5/2020,102.51,96.44
2/6/2020,101.51,99.15
2/7/2020,108.61,98.72
2/8/2020,98.27,96.17
2/9/2020,96.45,89.52
2/10/2020,104.5,104.29
2/11/2020,111.6,109.65
2/12/2020,114.06,110.52
2/13/2020,115.46,116.99
2/14/2020,130.95,133.1
2/15/2020,108.1,115.13
2/16/2020,105.35,100.66
2/17/2020,108.7,112.72
2/18/2020,113.54,117.5
2/19/2020,116.4,119.22
2/20/2020,114.54,117.24
2/21/2020,121.01,118.93
2/22/2020,106.91,119
2/23/2020,103.98,89.97
2/24/2020,107.55,100.16
2/25/2020,112.16,112.76
2/26/2020,113.88,110.48
2/27/2020,114.67,109.24
2/28/2020,123.43,120.46
2/29/2020,104.01,111.58
3/1/2020,97.97,93.4
3/2/2020,107.47,100.66
3/3/2020,113.7,117.61
3/4/2020,112.97,115.22
3/5/2020,118.39,119.64
3/6/2020,130.33,123.35
3/7/2020,108.19,116.4
3/8/2020,94.1,102.37
3/9/2020,107.63,93.22
3/10/2020,111.75,114.1
3/11/2020,117.72,105.51
3/12/2020,112.55,117.29
3/13/2020,110.81,106.53
3/14/2020,86.44,78.91
3/15/2020,81.77,65.03
3/16/2020,91.14,80.62
3/17/2020,92.99,75.4
3/18/2020,82.7,67.77
3/19/2020,78.13,66.52
3/20/2020,77.21,63.78
3/21/2020,60.22,48.24
3/22/2020,55.34,39.99
3/23/2020,63.26,45.87
3/24/2020,63.45,47.01
3/25/2020,64.72,50.16
3/26/2020,68.26,52.58
3/27/2020,71.84,53.66
3/28/2020,59.49,51.41
3/29/2020,61.03,50.97
3/30/2020,59.44,44.44
3/31/2020,59.29,43.23
4/1/2020,59.66,43.38
4/2/2020,60.86,47.8
4/3/2020,62.71,49.07
4/4/2020,54.31,43.62
4/5/2020,59.03,45.55
4/6/2020,58.51,46.95
4/7/2020,64.05,49.64
4/8/2020,61.8,50.22
4/9/2020,64.3,51.23
4/10/2020,64.78,49.21
4/11/2020,54.75,43.49
4/12/2020,57.59,43.96
4/13/2020,64.68,50.87
4/14/2020,65.56,47.76
4/15/2020,66.23,45.88
4/16/2020,68.98,47.12
4/17/2020,70.43,49.07
4/18/2020,52.23,38.97
4/19/2020,47.29,35.34
4/20/2020,61.87,42.41
4/21/2020,68.21,49.23
4/22/2020,71.41,53.77
4/23/2020,76.66,56.18
4/24/2020,77.47,58.27
4/25/2020,65.65,48.15
4/26/2020,68.41,45.76
4/27/2020,75.48,56.84
4/28/2020,82.54,59.83
4/29/2020,86.13,63.34
4/30/2020,92.47,59.13
5/1/2020,79.3,58.6
5/2/2020,73.36,52.03
5/3/2020,81.53,55.73
5/4/2020,84.83,59.52
5/5/2020,87.74,63.49
5/6/2020,88.8,58.38
5/7/2020,87.5,58.13
5/8/2020,97.32,65.76
5/9/2020,82.41,61.43
5/10/2020,87.37,67.13
5/13/2020,118.86,84.28
5/14/2020,107.25,73.86
5/15/2020,114.1,80.99
5/16/2020,96.11,79.6
5/17/2020,98.6,73.79
5/18/2020,110.88,82.53
5/19/2020,116.14,84.49
5/20/2020,115.67,86.57
5/21/2020,124.71,87.97
5/22/2020,127.64,89.62
5/23/2020,102.77,79.48
5/24/2020,111.77,78.77
5/25/2020,118.66,83.67
5/26/2020,117.58,87.27
5/27/2020,116.71,89.92
5/28/2020,121.01,86.61
5/29/2020,118.86,91.29
5/30/2020,97.88,72.81
5/31/2020,108.4,82.52
6/1/2020,118.74,95.27
6/2/2020,123.44,99.64
6/3/2020,126.67,99.69
6/4/2020,129.59,107.52
6/5/2020,152.38,109.93
6/6/2020,121.77,99.75
6/7/2020,117.09,90.32
6/8/2020,133.75,98.19
6/9/2020,135.27,116.13
6/10/2020,138.71,115.95
6/11/2020,140.82,113
6/12/2020,148.86,113.62
6/13/2020,121.15,97.44
6/14/2020,127.13,95.32
6/15/2020,134.75,114.93
6/16/2020,140.64,117.93
6/17/2020,140.82,118.1
6/18/2020,142.05,116.83
6/19/2020,152.6,114.99
6/20/2020,127.1,101.45
6/21/2020,134.69,99.14
6/22/2020,142.72,118.75
