date,ASupersharij,legitimniy,rezident_ua,montyan2,first_political,Novoeizdanie,ZeRada1,ghost_of_novorossia,spletnicca,OlgaSharij,ZE_kartel,nabludatels,MediaKiller2021,skosoi,Media_Post_UA,skeptik_21,krioggen,sheptoon,za_grany,nach_shtabu,truexanewsua,u_now,UAonlii,insiderUKR,voynareal,4kAkN49IKJBhZDk6,oko_xx,U3r_kPBc7PpgiYP7,UkraineNow,TVbmPYPLV_f00SF3
2021-09-18,287634,215093,153525,,394056,,71440,,51677,65200,55419,71324,40103,64084,62204,,35538,56752.0,46208,33611,160637.0,502846,341577.0,262804,215204.0,395708,351826.0,223752,521014,
2021-09-19,287514,215304,153528,,395737,,71449,,51621,65139,55302,71226,41012,64021,66881,,36464,56725.0,48198,33579,160727.0,504117,355059.0,267357,215253.0,394007,351990.0,231450,520831,
2021-09-20,287389,215524,153515,,395836,,71485,,51552,65069,55283,71120,41812,64029,70868,,37246,56677.0,48809,33664,160941.0,504034,354333.0,265811,215157.0,392760,360990.0,242264,520618,
2021-09-21,287275,215488,153485,,397341,,71384,,51452,65010,54861,70953,42815,63947,76055,41594.0,38153,56644.0,51370,33682,161000.0,504005,352947.0,265837,215580.0,391461,361549.0,247402,520543,
2021-09-22,287234,215605,153762,,399394,,71436,,51376,64951,54566,71319,43405,63928,79644,,38741,56669.0,54484,33761,161097.0,504154,351551.0,265099,215241.0,390064,360272.0,252207,520513,
2021-09-23,287224,215812,154048,,400465,,71459,1373.0,51298,64885,54226,71422,43581,63869,81424,,38765,56691.0,56388,33851,161122.0,503941,350221.0,264318,214777.0,388703,359106.0,251543,520392,
2021-09-24,287116,215881,154219,,401447,,71893,1377.0,51260,64918,53795,71675,43754,63813,82970,,38699,56594.0,58005,33858,161135.0,510674,349141.0,263532,214374.0,387489,357637.0,251710,520278,
2021-09-25,286870,215903,154351,,401904,,71888,1376.0,51236,64887,53792,71485,43797,63752,84485,,43189,56535.0,59631,33887,161133.0,510676,348176.0,262794,213901.0,397664,358006.0,250959,520060,
2021-09-26,286972,215752,154432,,402369,,71939,1383.0,51194,64841,53565,71705,43924,63692,85434,,46041,56523.0,61283,33917,161158.0,509901,347230.0,262125,213469.0,395675,357021.0,252088,519901,
2021-09-27,286754,216064,154529,,403180,,71944,1390.0,51662,64774,53464,72156,44704,63643,86844,,48697,56620.0,63144,34157,161107.0,510525,346326.0,261335,213010.0,394055,355910.0,254651,519575,
2021-09-28,286530,216502,154841,,403618,,71911,1380.0,51609,64715,53394,72521,45629,63590,87581,,51138,56594.0,63865,34480,161080.0,509100,345430.0,260542,212602.0,392602,354715.0,253638,519316,21934.0
2021-09-29,286331,217098,155268,,403022,,72269,1379.0,51720,64637,53808,72587,45787,63533,87805,,51544,56628.0,63846,34558,161116.0,508267,344510.0,259815,212168.0,391309,353508.0,254121,519030,21930.0
2021-09-30,286173,217276,155550,,409820,,72474,1382.0,51922,64568,54396,72788,45857,64084,96332,,59725,56946.0,72416,34627,161155.0,507035,343654.0,259111,211773.0,390095,352879.0,255020,518786,21856.0
2021-10-01,285972,217555,156266,,411645,,72453,1394.0,52093,64492,54821,72758,46148,64065,99071,,63026,57266.0,75309,34648,161151.0,505919,342917.0,258873,211392.0,389022,351922.0,256268,518568,22724.0
2021-10-02,285797,217836,156741,,411159,,72497,1392.0,52043,64440,55437,72662,46460,64631,99342,,63556,57340.0,75567,34618,161143.0,504895,342201.0,258287,210978.0,387979,350917.0,257049,518381,22888.0
2021-10-03,285641,217917,156950,,411710,,72444,1393.0,51992,65640,55361,72557,46565,64580,101413,,64493,57290.0,78562,34588,161192.0,503923,341386.0,257651,210528.0,386856,351590.0,255893,518129,22632.0
2021-10-04,285639,218407,157240,,426381,,72833,1401.0,52207,66284,55884,72706,46467,65102,115749,,80306,57121.0,92243,34537,161521.0,503219,343457.0,257628,210028.0,385691,361180.0,266670,517732,22334.0
2021-10-05,285597,218653,157480,,426942,,72929,1398.0,52301,66252,56275,73042,46553,65109,116877,,81857,57114.0,93363,34434,161782.0,503144,343114.0,259259,209555.0,384753,362255.0,270931,517519,22423.0
2021-10-06,285479,218869,157783,,431234,,72932,1386.0,52265,66207,56574,72939,46681,65067,122523,,85562,57059.0,99184,34394,161986.0,502575,342015.0,263835,209093.0,383747,361212.0,269931,517366,22355.0
2021-10-07,285369,219267,158389,,435688,,73156,1385.0,52195,66129,56686,73141,47088,65335,127842,,85604,56991.0,104409,34315,162261.0,502030,341077.0,263787,208624.0,382795,359979.0,271944,517382,22293.0
2021-10-08,285411,219351,158687,,432527,,73444,1382.0,52382,66142,56651,72904,47030,65595,126667,,85841,57108.0,103975,34326,162301.0,506100,342083.0,262920,208264.0,381864,358830.0,273851,517292,22151.0
2021-10-09,285351,219521,158606,,429107,,73377,1381.0,52369,66097,55993,72558,47314,65475,126163,,86153,57039.0,103545,34260,162325.0,506028,341108.0,262160,207886.0,381010,357769.0,272615,517079,23898.0
2021-10-10,285311,219774,158741,,425690,,73432,1411.0,52359,66045,55913,72210,47508,65941,126097,,87005,56965.0,103630,34167,162432.0,505184,340350.0,261446,207515.0,380136,356515.0,275646,516879,24705.0
2021-10-11,285212,219551,158877,,424893,,73464,1442.0,52441,65988,54712,72024,48139,65871,132981,,87416,57007.0,111155,34098,162520.0,504026,339495.0,261181,207130.0,379302,360408.0,277582,516677,24723.0
2021-10-12,285152,220057,159323,,421261,,73717,1448.0,52373,65936,54957,72202,48387,66309,131930,,87735,56987.0,110505,34062,162595.0,503125,339126.0,260571,206776.0,379098,365955.0,277851,516600,24386.0
2021-10-13,285047,220220,159342,,419132,,73862,1453.0,52892,65870,54745,72274,48574,66261,131813,,87936,56960.0,110332,34021,162687.0,503110,339834.0,260155,206373.0,378897,365716.0,276708,516539,24688.0
2021-10-14,284906,220321,159363,,428074,,74087,1452.0,52738,65800,54686,72057,48838,66442,134524,,88031,56997.0,113259,33961,162717.0,507393,338894.0,259494,205979.0,378511,364669.0,276602,516498,25863.0
2021-10-15,284751,220664,159299,,427181,,73912,1454.0,52770,65748,54555,72349,49175,66634,136473,105294.0,88161,56985.0,114703,33914,162759.0,507005,339809.0,258937,205599.0,377547,363160.0,276029,516507,25962.0
2021-10-16,284607,220639,159346,,425210,,74003,1454.0,52623,65687,54094,71920,49524,66445,138532,107099.0,88898,56935.0,116566,34122,162796.0,506102,342390.0,258433,205249.0,378841,362031.0,274232,516438,27006.0
2021-10-17,284499,220689,159432,,427549,,74136,1462.0,52683,65639,54332,72500,49614,66746,138717,107310.0,89258,56933.0,116775,34147,162903.0,505165,341324.0,257865,204950.0,378677,361198.0,275012,516380,28109.0
2021-10-18,284304,220943,159761,,440275,,74153,1474.0,53181,65577,54666,72866,49821,67327,138869,107430.0,89454,56903.0,116841,34122,162999.0,503973,340779.0,257406,204580.0,377524,359949.0,274714,516354,29156.0
2021-10-19,284169,220979,159781,,446764,,74247,1490.0,53337,65497,54721,72787,50100,67251,146120,114307.0,89322,56917.0,123892,34105,163211.0,502700,339706.0,256867,204202.0,376497,358678.0,274440,516358,30693.0
2021-10-20,284055,220987,159870,,450149,,74289,1487.0,53193,65448,54780,72744,50082,67180,154512,120665.0,89260,57230.0,132558,34083,163426.0,502269,338670.0,256267,203839.0,375536,357475.0,272593,516591,31807.0
