patient_age_group,registration_area,registration_settlement,lat,lng,registration_settlement_id,per1000
2963,ІВАНО-ФРАНКІВСЬКА,КОЛОМИЯ,48.5304917,25.0412055,set0,48.36
2286,ДНІПРОПЕТРОВСЬКА,ЧЕРВОНОГРИГОРІВКА,47.8002209,34.1808389,set1,369.07
427,ВІННИЦЬКА,ДАШІВ,49.1156880,29.196032,set2,111.72
7723,ДНІПРОПЕТРОВСЬКА,ДНІПРО,48.4673188,35.0551837,set3,7.8
1338,КИЇВСЬКА,ТАРАЩА,49.557675,30.4991551,set4,133.57
5412,ЗАКАРПАТСЬКА,МУКАЧЕВО,48.4346946,22.7155631,set5,63.08
211,МИКОЛАЇВСЬКА,ВРАДІЇВКА,47.8658976,30.5905504,set6,25.69
118,ІВАНО-ФРАНКІВСЬКА,КУТИ,48.9236418,24.718223,set7,29.13
3579,ХАРКІВСЬКА,ХАРКІВ,50.0081626,36.2344654,set8,2.48
259,ЖИТОМИРСЬКА,МИРОПІЛЬ,50.1068934,27.7077665,set9,56.69
20,СУМСЬКА,ДРУЖБА,52.0402452,33.9293828,set10,4.3
421,ДНІПРОПЕТРОВСЬКА,ЦАРИЧАНКА,48.9554828,34.4639105,set13,57.78
1,ХМЕЛЬНИЦЬКА,ВОЛОЧИСЬК,49.5363943,26.2156186,set14,0.05
325,МИКОЛАЇВСЬКА,ЄЛАНЕЦЬ,47.6963673,31.8580542,set15,67.96
10,ЗАПОРІЗЬКА,ЗАПОРІЖЖЯ,47.8501509,35.0988058,set16,0.01
4349,ПОЛТАВСЬКА,КРЕМЕНЧУК,49.0683261,33.4088643,set17,19.86
205,ЧЕРНІВЕЦЬКА,БЕРЕГОМЕТ,48.1688432,25.3232694,set18,26.96
190,ЛЬВІВСЬКА,СУДОВА ВИШНЯ,49.7883714,23.369379,set19,29.19
11904,М.КИЇВ,КИЇВ,50.4696446,30.4764455,set20,4.01
1578,ІВАНО-ФРАНКІВСЬКА,БУРШТИН,49.2488098,24.6275902,set21,105.37
2122,ДОНЕЦЬКА,КРАМАТОРСЬК,48.7627509,37.5950279,set22,13.95
