winning_party_alliance,id
Социал-демократическая партия,1
Социал-демократическая партия,2
Социал-демократическая партия,3
Социал-демократическая партия,4
Социал-демократическая партия,5
Социал-демократическая партия,6
Социал-демократическая партия,7
Социал-демократическая партия,8
Социал-демократическая партия,9
Социал-демократическая партия,10
Социал-демократическая партия,11
Социал-демократическая партия,12
Социал-демократическая партия,13
Социал-демократическая партия,14
Социал-демократическая партия,15
Социал-демократическая партия,16
Социал-демократическая партия,17
Социал-демократическая партия,18
Социал-демократическая партия,19
Социал-демократическая партия,20
Социал-демократическая партия,21
Социал-демократическая партия,22
Социал-демократическая партия,23
Социал-демократическая партия,24
Социал-демократическая партия,25
Социал-демократическая партия,26
Социал-демократическая партия,27
Социал-демократическая партия,28
Социал-демократическая партия,29
Социал-демократическая партия,30
Социал-демократическая партия,31
Социал-демократическая партия,32
Социал-демократическая партия,33
Социал-демократическая партия,34
Социал-демократическая партия,35
Социал-демократическая партия,36
Социал-демократическая партия,37
Социал-демократическая партия,38
Социал-демократическая партия,39
Социал-демократическая партия,40
Социал-демократическая партия,41
Социал-демократическая партия,42
Социал-демократическая партия,43
Социал-демократическая партия,44
Социал-демократическая партия,45
Социал-демократическая партия,46
Социал-демократическая партия,47
Социал-демократическая партия,48
Социал-демократическая партия,49
Социал-демократическая партия,50
Социал-демократическая партия,51
Социал-демократическая партия,52
Социал-демократическая партия,53
Социал-демократическая партия,54
Социал-демократическая партия,55
Социал-демократическая партия,56
Социал-демократическая партия,57
Социал-демократическая партия,58
Социал-демократическая партия,59
Социал-демократическая партия,60
Социал-демократическая партия,61
Социал-демократическая партия,62
Социал-демократическая партия,63
Социал-демократическая партия,64
Социал-демократическая партия,65
Социал-демократическая партия,66
Социал-демократическая партия,67
Социал-демократическая партия,68
Социал-демократическая партия,69
Социал-демократическая партия,70
Социал-демократическая партия,71
Социал-демократическая партия,72
Социал-демократическая партия,73
Социал-демократическая партия,74
Социал-демократическая партия,75
Социал-демократическая партия,76
Социал-демократическая партия,77
Социал-демократическая партия,78
Социал-демократическая партия,79
Социал-демократическая партия,80
Социал-демократическая партия,81
Социал-демократическая партия,82
Социал-демократическая партия,83
Социал-демократическая партия,84
Социал-демократическая партия,85
Социал-демократическая партия,86
Социал-демократическая партия,87
Социал-демократическая партия,88
Социал-демократическая партия,89
Социал-демократическая партия,90
Социал-демократическая партия,91
Социал-демократическая партия,92
Социал-демократическая партия,93
Социал-демократическая партия,94
Социал-демократическая партия,95
Социал-демократическая партия,96
Социал-демократическая партия,97
Социал-демократическая партия,98
Социал-демократическая партия,99
Социал-демократическая партия,100
Социал-демократическая партия,101
Социал-демократическая партия,102
Социал-демократическая партия,103
Социал-демократическая партия,104
Социал-демократическая партия,105
Социал-демократическая партия,106
Социал-демократическая партия,107
Социал-демократическая партия,108
Социал-демократическая партия,109
Социал-демократическая партия,110
Социал-демократическая партия,111
Социал-демократическая партия,112
Социал-демократическая партия,113
Социал-демократическая партия,114
Социал-демократическая партия,115
Социал-демократическая партия,116
Социал-демократическая партия,117
Социал-демократическая партия,118
Социал-демократическая партия,119
Социал-демократическая партия,120
Социал-демократическая партия,121
Социал-демократическая партия,122
Социал-демократическая партия,123
Социал-демократическая партия,124
Социал-демократическая партия,125
Социал-демократическая партия,126
Социал-демократическая партия,127
Социал-демократическая партия,128
Социал-демократическая партия,129
Социал-демократическая партия,130
Социал-демократическая партия,131
Социал-демократическая партия,132
Социал-демократическая партия,133
Социал-демократическая партия,134
Социал-демократическая партия,135
Социал-демократическая партия,136
Социал-демократическая партия,137
Социал-демократическая партия,138
Социал-демократическая партия,139
Социал-демократическая партия,140
Социал-демократическая партия,141
Социал-демократическая партия,142
Социал-демократическая партия,143
Социал-демократическая партия,144
Социал-демократическая партия,145
Социал-демократическая партия,146
Социал-демократическая партия,147
Социал-демократическая партия,148
Социал-демократическая партия,149
Социал-демократическая партия,150
Социал-демократическая партия,151
Социал-демократическая партия,152
Социал-демократическая партия,153
Социал-демократическая партия,154
Социал-демократическая партия,155
Социал-демократическая партия,156
Социал-демократическая партия,157
Социал-демократическая партия,158
Социал-демократическая партия,159
Социал-демократическая партия,160
Социал-демократическая партия,161
Социал-демократическая партия,162
Социал-демократическая партия,163
Социал-демократическая партия,164
Социал-демократическая партия,165
Социал-демократическая партия,166
Социал-демократическая партия,167
Социал-демократическая партия,168
Социал-демократическая партия,169
Социал-демократическая партия,170
Социал-демократическая партия,171
Социал-демократическая партия,172
Социал-демократическая партия,173
Социал-демократическая партия,174
Социал-демократическая партия,175
Социал-демократическая партия,176
Социал-демократическая партия,177
Социал-демократическая партия,178
Социал-демократическая партия,179
Социал-демократическая партия,180
Социал-демократическая партия,181
Социал-демократическая партия,182
Социал-демократическая партия,183
Социал-демократическая партия,184
Социал-демократическая партия,185
Социал-демократическая партия,186
Социал-демократическая партия,187
Социал-демократическая партия,188
Социал-демократическая партия,189
Социал-демократическая партия,190
Социал-демократическая партия,191
Социал-демократическая партия,192
Социал-демократическая партия,193
Социал-демократическая партия,194
Социал-демократическая партия,195
Социал-демократическая партия,196
Социал-демократическая партия,197
Социал-демократическая партия,198
Социал-демократическая партия,199
Социал-демократическая партия,200
Социал-демократическая партия,201
Социал-демократическая партия,202
Социал-демократическая партия,203
Социал-демократическая партия,204
Социал-демократическая партия,205
Социал-демократическая партия,206
Блок ХДС/ХСС,1
Блок ХДС/ХСС,2
Блок ХДС/ХСС,3
Блок ХДС/ХСС,4
Блок ХДС/ХСС,5
Блок ХДС/ХСС,6
Блок ХДС/ХСС,7
Блок ХДС/ХСС,8
Блок ХДС/ХСС,9
Блок ХДС/ХСС,10
Блок ХДС/ХСС,11
Блок ХДС/ХСС,12
Блок ХДС/ХСС,13
Блок ХДС/ХСС,14
Блок ХДС/ХСС,15
Блок ХДС/ХСС,16
Блок ХДС/ХСС,17
Блок ХДС/ХСС,18
Блок ХДС/ХСС,19
Блок ХДС/ХСС,20
Блок ХДС/ХСС,21
Блок ХДС/ХСС,22
Блок ХДС/ХСС,23
Блок ХДС/ХСС,24
Блок ХДС/ХСС,25
Блок ХДС/ХСС,26
Блок ХДС/ХСС,27
Блок ХДС/ХСС,28
Блок ХДС/ХСС,29
Блок ХДС/ХСС,30
Блок ХДС/ХСС,31
Блок ХДС/ХСС,32
Блок ХДС/ХСС,33
Блок ХДС/ХСС,34
Блок ХДС/ХСС,35
Блок ХДС/ХСС,36
Блок ХДС/ХСС,37
Блок ХДС/ХСС,38
Блок ХДС/ХСС,39
Блок ХДС/ХСС,40
Блок ХДС/ХСС,41
Блок ХДС/ХСС,42
Блок ХДС/ХСС,43
Блок ХДС/ХСС,44
Блок ХДС/ХСС,45
Блок ХДС/ХСС,46
Блок ХДС/ХСС,47
Блок ХДС/ХСС,48
Блок ХДС/ХСС,49
Блок ХДС/ХСС,50
Блок ХДС/ХСС,51
Блок ХДС/ХСС,52
Блок ХДС/ХСС,53
Блок ХДС/ХСС,54
Блок ХДС/ХСС,55
Блок ХДС/ХСС,56
Блок ХДС/ХСС,57
Блок ХДС/ХСС,58
Блок ХДС/ХСС,59
Блок ХДС/ХСС,60
Блок ХДС/ХСС,61
Блок ХДС/ХСС,62
Блок ХДС/ХСС,63
Блок ХДС/ХСС,64
Блок ХДС/ХСС,65
Блок ХДС/ХСС,66
Блок ХДС/ХСС,67
Блок ХДС/ХСС,68
Блок ХДС/ХСС,69
Блок ХДС/ХСС,70
Блок ХДС/ХСС,71
Блок ХДС/ХСС,72
Блок ХДС/ХСС,73
Блок ХДС/ХСС,74
Блок ХДС/ХСС,75
Блок ХДС/ХСС,76
Блок ХДС/ХСС,77
Блок ХДС/ХСС,78
Блок ХДС/ХСС,79
Блок ХДС/ХСС,80
Блок ХДС/ХСС,81
Блок ХДС/ХСС,82
Блок ХДС/ХСС,83
Блок ХДС/ХСС,84
Блок ХДС/ХСС,85
Блок ХДС/ХСС,86
Блок ХДС/ХСС,87
Блок ХДС/ХСС,88
Блок ХДС/ХСС,89
Блок ХДС/ХСС,90
Блок ХДС/ХСС,91
Блок ХДС/ХСС,92
Блок ХДС/ХСС,93
Блок ХДС/ХСС,94
Блок ХДС/ХСС,95
Блок ХДС/ХСС,96
Блок ХДС/ХСС,97
Блок ХДС/ХСС,98
Блок ХДС/ХСС,99
Блок ХДС/ХСС,100
Блок ХДС/ХСС,101
Блок ХДС/ХСС,102
Блок ХДС/ХСС,103
Блок ХДС/ХСС,104
Блок ХДС/ХСС,105
Блок ХДС/ХСС,106
Блок ХДС/ХСС,107
Блок ХДС/ХСС,108
Блок ХДС/ХСС,109
Блок ХДС/ХСС,110
Блок ХДС/ХСС,111
Блок ХДС/ХСС,112
Блок ХДС/ХСС,113
Блок ХДС/ХСС,114
Блок ХДС/ХСС,115
Блок ХДС/ХСС,116
Блок ХДС/ХСС,117
Блок ХДС/ХСС,118
Блок ХДС/ХСС,119
Блок ХДС/ХСС,120
Блок ХДС/ХСС,121
