winning_party_alliance,id
Соціал-демократична партія,1
Соціал-демократична партія,2
Соціал-демократична партія,3
Соціал-демократична партія,4
Соціал-демократична партія,5
Соціал-демократична партія,6
Соціал-демократична партія,7
Соціал-демократична партія,8
Соціал-демократична партія,9
Соціал-демократична партія,10
Соціал-демократична партія,11
Соціал-демократична партія,12
Соціал-демократична партія,13
Соціал-демократична партія,14
Соціал-демократична партія,15
Соціал-демократична партія,16
Соціал-демократична партія,17
Соціал-демократична партія,18
Соціал-демократична партія,19
Соціал-демократична партія,20
Соціал-демократична партія,21
Соціал-демократична партія,22
Соціал-демократична партія,23
Соціал-демократична партія,24
Соціал-демократична партія,25
Соціал-демократична партія,26
Соціал-демократична партія,27
Соціал-демократична партія,28
Соціал-демократична партія,29
Соціал-демократична партія,30
Соціал-демократична партія,31
Соціал-демократична партія,32
Соціал-демократична партія,33
Соціал-демократична партія,34
Соціал-демократична партія,35
Соціал-демократична партія,36
Соціал-демократична партія,37
Соціал-демократична партія,38
Соціал-демократична партія,39
Соціал-демократична партія,40
Соціал-демократична партія,41
Соціал-демократична партія,42
Соціал-демократична партія,43
Соціал-демократична партія,44
Соціал-демократична партія,45
Соціал-демократична партія,46
Соціал-демократична партія,47
Соціал-демократична партія,48
Соціал-демократична партія,49
Соціал-демократична партія,50
Соціал-демократична партія,51
Соціал-демократична партія,52
Соціал-демократична партія,53
Соціал-демократична партія,54
Соціал-демократична партія,55
Соціал-демократична партія,56
Соціал-демократична партія,57
Соціал-демократична партія,58
Соціал-демократична партія,59
Соціал-демократична партія,60
Соціал-демократична партія,61
Соціал-демократична партія,62
Соціал-демократична партія,63
Соціал-демократична партія,64
Соціал-демократична партія,65
Соціал-демократична партія,66
Соціал-демократична партія,67
Соціал-демократична партія,68
Соціал-демократична партія,69
Соціал-демократична партія,70
Соціал-демократична партія,71
Соціал-демократична партія,72
Соціал-демократична партія,73
Соціал-демократична партія,74
Соціал-демократична партія,75
Соціал-демократична партія,76
Соціал-демократична партія,77
Соціал-демократична партія,78
Соціал-демократична партія,79
Соціал-демократична партія,80
Соціал-демократична партія,81
Соціал-демократична партія,82
Соціал-демократична партія,83
Соціал-демократична партія,84
Соціал-демократична партія,85
Соціал-демократична партія,86
Соціал-демократична партія,87
Соціал-демократична партія,88
Соціал-демократична партія,89
Соціал-демократична партія,90
Соціал-демократична партія,91
Соціал-демократична партія,92
Соціал-демократична партія,93
Соціал-демократична партія,94
Соціал-демократична партія,95
Соціал-демократична партія,96
Соціал-демократична партія,97
Соціал-демократична партія,98
Соціал-демократична партія,99
Соціал-демократична партія,100
Соціал-демократична партія,101
Соціал-демократична партія,102
Соціал-демократична партія,103
Соціал-демократична партія,104
Соціал-демократична партія,105
Соціал-демократична партія,106
Соціал-демократична партія,107
Соціал-демократична партія,108
Соціал-демократична партія,109
Соціал-демократична партія,110
