date,Бензин А-95,Бензин А-92,Дизель,Свекла,Капуста,Картошка,Пшено,Лук,Сахар,Гречка,Яйца,Сигареты,Подсолнечное масло,Жаропонижающие и обезболивающие препараты отечественные,Стоматология,Манные крупы
12/01/2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01/01/2020,0.96,0.96,0.96,1,0.96,0.97,0.92,1.01,0.98,1.02,0.98,1.02,1,1.01,1.07,0.97
02/01/2020,0.94,0.94,0.94,0.98,0.91,0.95,0.89,1.06,0.99,1.03,0.81,1.03,1,1.02,1.08,0.96
03/01/2020,0.93,0.93,0.93,0.99,0.96,0.95,0.89,1.25,1.02,1.08,0.71,1.05,1,1.04,1.09,0.99
04/01/2020,0.85,0.85,0.85,1.05,1.08,1.09,0.87,2.06,1.07,1.28,0.78,1.07,1,1.08,1.09,1
05/01/2020,0.78,0.77,0.77,0.88,1.33,1.13,0.86,1.94,1.06,1.32,0.9,1.09,0.99,1.09,1.1,1.03
06/01/2020,0.78,0.77,0.77,1.16,1.33,1.19,0.84,1.4,1.04,1.33,0.91,1.1,1,1.11,1.12,1.06
07/01/2020,0.81,0.8,0.8,1.16,1.04,0.94,0.81,0.76,1.03,1.34,0.77,1.11,1,1.11,1.13,1.06
08/01/2020,0.83,0.82,0.82,0.96,0.97,0.74,0.78,0.66,1.03,1.33,0.8,1.13,1.01,1.13,1.13,1.05
09/01/2020,0.83,0.82,0.82,0.88,0.99,0.67,0.74,0.64,1.04,1.33,0.85,1.15,1.02,1.14,1.14,1.06
10/01/2020,0.84,0.83,0.83,0.84,0.95,0.66,0.71,0.59,1.28,1.33,1.05,1.18,1.09,1.14,1.15,1.07
11/01/2020,0.86,0.86,0.85,0.8,0.84,0.68,0.7,0.56,1.38,1.34,1.13,1.2,1.16,1.16,1.16,1.12
12/01/2020,0.89,0.88,0.88,0.83,0.79,0.75,0.7,0.57,1.46,1.35,1.3,1.23,1.22,1.18,1.18,1.17
