date,close,open
12/1/2020,3967,2189
11/1/2020,3922,2118
10/1/2020,3769,2118
9/1/2020,3763,2118
8/1/2020,3778,2118
7/1/2020,3894,2027
6/1/2020,3974,2027
5/1/2020,3900,2027
4/1/2020,3846,2027
3/1/2020,3794,2027
2/1/2020,3774,2027
1/1/2020,3780,2027
12/1/2019,3747,2027
11/1/2019,3728,1936
10/1/2019,3728,1936
9/1/2019,3678,1936
8/1/2019,3669,1936
7/1/2019,3706,1936
6/1/2019,3760,1853
5/1/2019,3690,1853
4/1/2019,3639,1853
3/1/2019,3586,1853
2/1/2019,3553,1853
1/1/2019,3443,1853
12/1/2018,3384,1853
11/1/2018,3353,1777
10/1/2018,3285,1777
9/1/2018,3251,1777
8/1/2018,3215,1777
7/1/2018,3261,1777
6/1/2018,3326,1700
5/1/2018,3292,1700
4/1/2018,3281,1700
3/1/2018,3215,1700
2/1/2018,3156,1700
1/1/2018,3127,1700
12/1/2017,3090,1700
11/1/2017,3056,1624
10/1/2017,3016,1624
9/1/2017,2980,1624
8/1/2017,2953,1624
7/1/2017,3035,1624
6/1/2017,3049,1624
5/1/2017,2930,1624
4/1/2017,2862,1544
3/1/2017,2824,1544
2/1/2017,2768,1544
1/1/2017,2729,1544
