Country,Value
2016-08-25,1
2016-08-27,0
2016-08-29,0
2016-08-30,0
2016-09-01,0
2016-09-02,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-09,0
2016-09-12,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-23,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-11,0
2016-10-17,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,1
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,1
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-14,0
2016-11-15,1
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,1
2016-11-22,0
2016-11-23,0
2016-11-28,1
2016-11-30,0
2016-12-01,0
2016-12-05,0
2016-12-07,0
2016-12-09,0
2016-12-10,0
2016-12-12,0
2016-12-13,0
2016-12-16,0
2016-12-17,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-24,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-30,0
2017-01-10,0
2017-01-14,0
2017-01-18,0
2017-01-19,0
2017-02-25,0
2017-05-18,0
2017-07-14,0
2017-08-24,0
2017-08-25,0
2017-09-21,0
2017-11-08,2
2017-11-09,0
2017-11-16,0
2017-12-07,1
2017-12-24,0
2017-12-27,0
2018-01-12,0
2018-01-14,0
2018-02-14,0
2018-02-28,0
2018-03-09,0
2018-03-27,0
2018-03-28,0
2018-03-30,0
2018-04-17,0
2018-04-18,0
2018-04-27,0
2018-05-10,0
2018-05-11,0
2018-05-14,0
2018-05-15,0
2018-05-17,0
2018-05-18,1
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,1
2018-05-25,0
2018-05-26,0
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-04,0
2018-06-05,0
2018-06-08,0
2018-06-09,0
2018-06-11,0
2018-06-12,0
2018-06-13,0
2018-06-14,0
2018-06-15,0
2018-06-18,0
2018-06-19,0
2018-06-20,0
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-25,0
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-07-04,0
2018-07-05,0
2018-07-17,1
2018-07-20,0
2018-07-23,0
2018-07-24,0
2018-07-26,0
2018-07-27,0
2018-07-29,0
2018-07-30,0
2018-07-31,0
2018-08-01,0
