Date,Poland,Spain,Germany,United States
01/05/2020,-0.77,-9.72,-2.35,-0.55
01/12/2020,-3.21,-6.5,-0.95,-0.25
01/19/2020,-5.66,-3.39,-1.94,-0.01
01/26/2020,-6.96,-5.15,-4.7,1.14
02/02/2020,-3.55,-3.52,-2.9,1.21
02/09/2020,-5.42,-3.24,-6.48,2.03
02/16/2020,-2.89,-6.02,-4.9,1.69
02/23/2020,-3.63,-9.05,-9.82,3.12
03/01/2020,-3.63,-12.28,-9.61,4.26
03/08/2020,-3.11,-1.86,-7.89,4.5
03/15/2020,-0.04,9.05,-2.86,4.55
03/22/2020,0.54,53.9,0.81,6.22
03/29/2020,-0.01,132.33,3.89,14.49
04/05/2020,0.38,154.45,11.55,31.55
04/12/2020,2.4,115.71,14.44,44.94
04/19/2020,7.52,68.67,10.88,43.68
04/26/2020,1.57,34.68,6.42,39.91
05/03/2020,4.47,17.5,5.35,31.14
05/10/2020,4.01,13.71,1.63,28.47
05/17/2020,5.43,0.9,0.55,25.32
05/24/2020,3.81,3.07,3.36,20.01
05/31/2020,5.41,-0.75,-0.36,17.12
06/07/2020,8.28,-1.56,4.78,14.44
06/14/2020,7.52,-4.23,3.78,13.8
06/21/2020,3.22,-3.82,-1.14,13.96
06/28/2020,5.19,3.71,4.12,15.2
07/05/2020,9.05,1.51,-0.31,17.28
07/12/2020,4.4,3.81,0.48,22.07
07/19/2020,6.18,3.5,-1.81,25.33
07/26/2020,3.25,7.62,-3.88,28.01
08/02/2020,7.97,15.92,0.14,27.74
08/09/2020,10.8,15.43,5.09,25.82
08/16/2020,15.08,16.33,20.17,25.7
08/23/2020,15.99,13.83,6.02,23.17
08/30/2020,4.24,15.4,0.64,18.19
09/06/2020,7.85,15.12,3.56,14.83
09/13/2020,10.81,20.81,4.21,12.04
09/20/2020,14.1,19.5,6.43,10.92
09/27/2020,10.68,16.37,3.61,12.02
10/04/2020,9.63,17.42,4.16,6.43
10/11/2020,19.85,21.79,-1.51,8.1
10/18/2020,31,20.31,-0.36,
10/25/2020,59.71,30.96,,
11/01/2020,85.77,29.89,,
