date,born,died
1/1/1991,630800,669900
1/1/1992,596800,697100
1/1/1993,557500,741700
1/1/1994,521600,764700
1/1/1995,492900,792600
1/1/1996,467200,776700
1/1/1997,442600,754200
1/1/1998,419200,719900
1/1/1999,389200,739200
1/1/2000,385100,758100
1/1/2001,376500,746000
1/1/2002,390700,754900
1/1/2003,408600,765400
1/1/2004,427300,761300
1/1/2005,426100,782000
1/1/2006,460400,758100
1/1/2007,472700,762900
1/1/2008,510600,754500
1/1/2009,512500,706700
1/1/2010,497700,698200
1/1/2011,502600,664600
1/1/2012,520700,663100
1/1/2013,503700,662400
1/1/2014,465900,632300
1/1/2015,411800,594800
1/1/2016,397000,583600
1/1/2017,364000,574100
1/1/2018,335900,587700
1/1/2019,308800,581100
1/1/2020,293457,616835
