Country,Value
2013-12-29,1
2013-12-30,1
2014-01-12,1
2014-01-18,1
2014-01-19,1
2014-01-23,1
2014-02-07,1
2014-02-21,1
2014-02-22,1
2014-03-17,2
2014-03-21,1
2014-03-24,3
2014-03-27,4
2014-03-30,1
2014-06-10,1
2014-06-22,1
2014-06-23,4
2014-06-24,1
2014-06-25,4
2014-06-26,2
2014-06-28,1
2014-06-29,1
2014-06-30,2
2014-07-08,2
2014-07-23,1
2014-08-01,1
2014-08-05,1
2014-09-25,1
2014-10-28,1
2014-11-29,1
2014-12-13,1
2014-12-17,1
2014-12-18,1
2014-12-19,1
2014-12-22,1
2014-12-23,1
2014-12-24,2
2014-12-25,1
2014-12-26,1
2014-12-29,1
2014-12-30,1
2015-01-12,1
2015-01-13,1
2015-01-14,1
2015-01-16,1
2015-01-17,1
2015-01-19,1
2015-01-20,1
2015-01-21,1
2015-01-22,1
2015-01-23,1
2015-01-26,1
2015-01-27,2
2015-01-28,1
2015-01-30,1
2015-01-31,1
2015-02-02,2
2015-02-03,1
2015-02-04,1
2015-02-05,1
2015-02-06,1
2015-02-07,1
2015-02-09,1
2015-02-10,1
2015-02-11,1
2015-02-13,1
2015-02-14,1
2015-02-16,1
2015-02-17,1
2015-02-19,1
2015-02-20,1
2015-02-24,1
2015-02-25,1
2015-02-26,1
2015-02-27,1
2015-03-01,1
2015-03-02,1
2015-03-03,1
2015-03-04,1
2015-03-05,1
2015-03-06,1
2015-03-07,1
2015-03-09,1
2015-03-10,1
2015-03-11,1
2015-03-12,1
2015-03-13,1
2015-03-14,1
2015-03-16,1
2015-03-17,1
2015-03-18,1
2015-03-19,1
2015-03-20,1
2015-03-21,1
2015-03-23,1
2015-03-24,1
2015-03-25,1
2015-03-26,1
2015-03-27,1
2015-03-28,1
2015-03-30,1
2015-03-31,1
2015-04-01,2
2015-04-02,1
2015-04-03,1
2015-04-04,1
2015-04-06,2
2015-04-07,2
2015-04-08,2
2015-04-09,1
2015-04-11,1
2015-04-13,1
2015-04-14,1
2015-04-15,2
2015-04-16,1
2015-04-17,1
2015-04-18,1
2015-04-20,1
2015-04-21,1
2015-04-22,1
2015-04-23,1
2015-04-24,1
2015-04-25,1
2015-04-26,1
2015-04-27,1
2015-04-28,1
2015-04-30,1
2015-05-01,1
2015-05-04,1
2015-05-05,1
2015-05-06,1
2015-05-08,2
2015-05-09,1
2015-05-12,1
2015-05-13,1
2015-05-14,1
2015-05-15,1
2015-05-16,1
2015-05-18,1
2015-05-20,1
2015-05-21,2
2015-05-22,1
2015-05-23,1
2015-05-25,1
2015-05-26,2
2015-05-27,1
2015-05-28,2
2015-05-29,3
2015-05-30,1
2015-06-02,1
2015-06-03,1
2015-06-04,1
2015-06-05,1
2015-06-06,1
2015-06-08,1
2015-06-09,1
2015-06-10,2
2015-09-25,1
2015-09-26,1
2015-09-28,1
2015-09-29,1
2015-09-30,1
2015-10-01,1
2015-10-02,1
2015-10-05,1
2015-10-09,1
2015-10-10,1
2015-10-12,1
2015-10-13,1
2015-10-16,1
2015-10-19,1
2015-10-20,1
2015-10-21,1
2015-10-22,1
2015-10-23,1
2015-10-24,1
2015-10-27,2
2015-10-28,2
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-11-02,1
2015-11-03,1
2015-11-04,1
2015-11-05,2
2015-11-06,1
2015-11-07,1
2015-11-09,1
2015-11-10,1
2015-11-11,2
2015-11-12,1
2015-11-13,1
2015-11-14,1
2015-11-16,1
2015-11-17,1
2015-11-18,1
2015-11-19,1
2015-11-20,1
2015-11-21,1
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-26,1
2015-11-27,1
2015-11-28,1
2015-11-30,1
2015-12-01,1
2015-12-03,1
2015-12-04,1
2015-12-05,1
2015-12-07,1
2015-12-08,1
2015-12-09,1
2015-12-10,1
2015-12-11,1
2015-12-12,1
2015-12-15,1
2015-12-16,1
2015-12-17,1
2015-12-18,1
2015-12-19,1
2015-12-22,1
2015-12-23,1
2015-12-24,1
2015-12-25,1
2015-12-26,1
2015-12-28,1
2015-12-29,1
2016-01-04,1
2016-01-09,1
2016-01-12,1
2016-01-13,2
2016-01-14,1
2016-01-15,1
2016-01-16,1
2016-01-18,1
2016-01-19,1
2016-01-20,1
2016-01-21,1
2016-01-22,1
2016-01-23,1
2016-01-25,1
2016-01-26,1
2016-01-28,3
2016-01-29,1
2016-02-01,2
2016-02-02,1
2016-02-03,2
2016-02-05,1
2016-02-06,1
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,1
2016-02-12,1
2016-02-13,1
2016-02-15,1
2016-02-16,1
2016-02-17,1
2016-02-18,1
2016-02-19,2
2016-02-22,2
2016-02-25,1
2016-03-01,1
2016-03-02,1
2016-03-03,1
2016-03-04,1
2016-03-05,1
2016-03-07,1
2016-03-09,1
2016-03-10,1
2016-03-11,1
2016-03-14,2
2016-03-17,1
2016-03-19,1
2016-03-21,2
2016-03-22,2
2016-03-24,1
2016-03-26,1
2016-03-28,1
2016-03-29,1
2016-03-30,1
2016-03-31,1
2016-04-02,1
2016-04-07,2
2016-04-08,1
2016-04-11,1
2016-04-12,1
2016-04-13,2
2016-04-14,1
2016-04-15,1
2016-04-16,1
2016-04-18,1
2016-04-20,1
2016-04-21,1
2016-04-22,1
2016-04-23,1
2016-04-25,1
2016-04-27,1
2016-04-28,1
2016-04-30,1
2016-05-04,2
2016-05-05,2
2016-05-06,1
2016-05-10,1
2016-05-11,1
2016-05-12,1
2016-05-13,1
2016-05-14,1
2016-05-16,1
2016-05-17,1
2016-05-18,1
2016-05-19,1
2016-05-23,1
2016-05-24,1
2016-05-25,2
2016-05-26,3
2016-05-27,1
2016-05-30,2
2016-06-02,1
2016-06-03,2
2016-06-04,1
2016-06-06,2
2016-06-07,1
2016-06-08,2
2016-06-09,1
2016-06-11,1
2016-06-13,2
2016-06-14,1
2016-06-15,2
2016-06-16,2
2016-06-17,1
2016-06-18,1
2016-06-21,1
2016-06-22,3
2016-06-23,1
2016-06-24,1
2016-06-25,1
2016-06-27,1
2016-06-28,1
2016-06-29,1
2016-06-30,2
2016-07-01,1
2016-07-02,2
2016-07-05,1
2016-07-06,1
2016-07-08,2
2016-07-11,1
2016-07-12,1
2016-07-13,1
2016-07-14,4
2016-07-15,1
2016-07-16,2
2016-07-18,1
2016-07-19,1
2016-07-20,2
2016-07-21,1
2016-07-22,1
2016-07-23,1
2016-07-25,1
2016-07-26,1
2016-07-27,2
2016-07-28,1
2016-07-29,1
2016-08-01,3
2016-08-02,2
2016-08-03,1
2016-08-04,1
2016-08-05,1
2016-08-06,1
2016-08-08,2
2016-08-10,1
2016-08-11,1
2016-08-13,1
2016-08-15,1
2016-08-16,2
2016-08-18,1
2016-08-22,2
2016-08-25,1
2016-08-27,1
2016-08-29,1
2016-08-30,1
2016-09-01,1
2016-09-02,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-09,1
2016-09-12,1
2016-09-14,1
2016-09-15,1
2016-09-16,1
2016-09-19,2
2016-09-20,1
2016-09-21,1
2016-09-23,1
2016-09-28,1
2016-09-29,2
2016-09-30,1
2016-10-03,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-07,2
2016-10-10,1
2016-10-11,1
2016-10-17,2
2016-10-19,1
2016-10-20,1
2016-10-21,1
2016-10-24,1
2016-10-25,1
2016-10-26,1
2016-10-27,1
2016-10-28,1
2016-11-01,1
2016-11-02,1
2016-11-03,1
2016-11-04,1
2016-11-07,1
2016-11-08,1
2016-11-09,1
2016-11-10,1
2016-11-11,1
2016-11-12,1
2016-11-14,1
2016-11-15,4
2016-11-16,1
2016-11-17,1
2016-11-18,3
2016-11-21,7
2016-11-22,4
2016-11-23,3
2016-11-28,1
2016-11-30,1
2016-12-01,1
2016-12-05,2
2016-12-07,1
2016-12-09,1
2016-12-10,1
2016-12-12,1
2016-12-13,1
2016-12-16,1
2016-12-17,1
2016-12-20,1
2016-12-21,1
2016-12-22,1
2016-12-24,1
2016-12-26,1
2016-12-27,1
2016-12-28,1
2016-12-30,1
2017-01-10,1
2017-01-14,1
2017-01-18,1
2017-01-19,1
2017-02-25,1
2017-05-18,1
2017-07-14,1
2017-08-24,1
2017-08-25,1
2017-09-21,1
2017-11-08,1
2017-11-09,1
2017-11-16,1
2017-12-07,2
2017-12-24,1
2017-12-27,1
2018-01-12,1
2018-01-14,1
2018-02-14,1
2018-02-28,1
2018-03-09,1
2018-03-27,1
2018-03-28,1
2018-03-30,1
2018-04-17,1
2018-04-18,1
2018-04-27,1
2018-05-10,1
2018-05-11,1
2018-05-14,2
2018-05-15,1
2018-05-17,1
2018-05-18,1
2018-05-21,1
2018-05-22,1
2018-05-23,2
2018-05-24,2
2018-05-25,1
2018-05-26,1
2018-05-29,1
2018-05-30,2
2018-05-31,1
2018-06-01,1
2018-06-04,1
2018-06-05,1
2018-06-08,1
2018-06-09,1
2018-06-11,2
2018-06-12,1
2018-06-13,1
2018-06-14,1
2018-06-15,1
2018-06-18,2
2018-06-19,1
2018-06-20,1
2018-06-21,2
2018-06-22,3
2018-06-23,1
2018-06-25,2
2018-06-27,5
2018-06-28,3
2018-06-29,1
2018-07-04,1
2018-07-05,1
2018-07-17,1
2018-07-20,1
2018-07-23,3
2018-07-24,2
2018-07-26,1
2018-07-27,1
2018-07-29,2
2018-07-30,10
2018-07-31,2
2018-08-01,4
2018-08-02,4
2018-08-03,4
2018-08-05,4
2018-08-06,2
2018-08-07,3
2018-08-08,1
2018-08-09,2
2018-08-10,1
2018-08-16,1
2018-08-17,2
2018-08-25,11
2018-08-26,4
2018-08-29,3
2018-08-31,1
2018-09-01,3
2018-09-05,1
2018-09-07,1
2018-09-10,1
2018-09-13,5
2018-09-16,2
2018-09-17,6
2018-09-18,2
2018-09-24,1
2018-09-26,1
2018-10-01,1
2018-10-02,2
2018-10-04,2
2018-10-08,1
2018-10-14,2
2018-10-18,1
2018-10-19,1
2018-10-21,1
2018-10-22,1
2018-11-02,1
2018-11-04,1
2018-11-05,2
2018-11-08,3
2018-11-09,1
2018-11-10,1
2018-11-11,4
2018-11-12,1
2018-11-14,1
2018-11-16,1
2018-11-20,1
2018-11-21,1
2018-11-23,1
2018-11-24,1
2018-11-27,1
2018-11-28,1
2018-11-30,1
2018-12-03,1
2018-12-04,2
2018-12-13,1
2018-12-16,1
2018-12-17,4
2018-12-18,1
2018-12-20,3
2018-12-21,2
2018-12-22,2
2018-12-26,1
2018-12-27,3
2019-01-05,2
2019-01-09,1
2019-01-14,5
2019-01-15,2
2019-01-16,1
2019-01-17,2
2019-01-23,5
2019-01-25,1
2019-01-29,9
2019-01-30,3
2019-01-31,1
2019-02-02,2
2019-02-03,1
2019-02-04,1
2019-02-05,17
2019-02-06,10
2019-02-07,10
2019-02-08,7
2019-02-09,9
2019-02-11,8
2019-02-12,5
2019-02-13,3
2019-02-14,2
2019-02-15,7
2019-02-16,2
2019-02-18,1
